Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team
Jeremy Sarmiento,ec ECU,"MF,FW",20,2,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton-and-Hove-Albion
Jan Paul van Hecke,nl NED,DF,22,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton-and-Hove-Albion
Steven Alzate,co COL,MF,24,0,0,,,,,,,,,Brighton-and-Hove-Albion
Evan Ferguson,ie IRL,FW,18,0,0,,,,,,,,,Brighton-and-Hove-Albion
James Furlong,ie IRL,DF,20,0,0,,,,,,,,,Brighton-and-Hove-Albion
Neal Maupay,fr FRA,"FW,MF",26,0,0,,,,,,,,,Brighton-and-Hove-Albion
Andrew Moran,ie IRL,DF,19,0,0,,,,,,,,,Brighton-and-Hove-Albion
Jason Steele,eng ENG,GK,32,0,0,,,,,,,,,Brighton-and-Hove-Albion
Ed Turns,wls WAL,DF,20,0,0,,,,,,,,,Brighton-and-Hove-Albion
Squad Total,,,,14,154,1260.0,20.0,11.0,3.0,19.0,0.0,21.5,15.7,Brighton-and-Hove-Albion
Mason Mount,eng ENG,"MF,FW",23,14,13,1030.0,2.0,2.0,0.0,2.0,0.0,1.5,1.6,Chelsea
Ruben Loftus-Cheek,eng ENG,"MF,DF",26,14,12,954.0,0.0,0.0,0.0,1.0,0.0,0.8,0.9,Chelsea
Thiago Silva,br BRA,DF,38,12,11,1074.0,0.0,2.0,0.0,1.0,0.0,0.5,0.4,Chelsea
Raheem Sterling,eng ENG,"FW,MF",27,12,11,950.0,3.0,1.0,0.0,3.0,0.0,3.0,2.1,Chelsea
Jorginho,it ITA,MF,30,13,11,903.0,2.0,0.0,2.0,3.0,0.0,1.7,0.2,Chelsea
Kai Havertz,de GER,"FW,MF",23,13,11,883.0,3.0,0.0,0.0,3.0,0.0,2.8,0.4,Chelsea
Marc Cucurella,es ESP,DF,24,13,11,847.0,0.0,2.0,0.0,2.0,0.0,0.3,0.3,Chelsea
Edouard Mendy,sn SEN,GK,30,9,8,765.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Chelsea
Kalidou Koulibaly,sn SEN,DF,31,9,8,742.0,1.0,0.0,0.0,4.0,1.0,0.4,0.2,Chelsea
Trevoh Chalobah,eng ENG,DF,23,8,8,720.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,Chelsea
César Azpilicueta,es ESP,DF,33,11,7,672.0,0.0,0.0,0.0,2.0,0.0,0.1,0.7,Chelsea
Conor Gallagher,eng ENG,"MF,FW",22,12,7,498.0,1.0,1.0,0.0,3.0,1.0,0.5,1.3,Chelsea
Reece James,eng ENG,"DF,MF",22,7,6,559.0,1.0,1.0,0.0,3.0,0.0,0.7,1.6,Chelsea
Kepa Arrizabalaga,es ESP,GK,28,6,6,495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
Mateo Kovačić,hr CRO,MF,28,11,5,635.0,0.0,1.0,0.0,2.0,0.0,0.3,0.5,Chelsea
Ben Chilwell,eng ENG,"DF,MF",25,9,4,419.0,1.0,1.0,0.0,1.0,0.0,0.3,0.1,Chelsea
Pierre-Emerick Aubameyang,ga GAB,FW,33,6,4,305.0,1.0,0.0,0.0,1.0,0.0,0.2,0.3,Chelsea
Christian Pulisic,us USA,"FW,DF",24,13,3,421.0,1.0,1.0,0.0,1.0,0.0,0.9,0.5,Chelsea
Armando Broja,al ALB,FW,21,12,2,294.0,1.0,0.0,0.0,0.0,0.0,0.8,0.1,Chelsea
Wesley Fofana,fr FRA,DF,21,2,2,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
N'Golo Kanté,fr FRA,MF,31,2,2,174.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,Chelsea
Hakim Ziyech,ma MAR,"MF,FW",29,5,1,152.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,Chelsea
Lewis Hall,eng ENG,DF,18,1,1,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Chelsea
Carney Chukwuemeka,eng ENG,MF,19,3,0,46.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Chelsea
Ethan Ampadu,wls WAL,"DF,MF",22,0,0,,,,,,,,,Chelsea
Marcus Bettinelli,eng ENG,GK,30,0,0,,,,,,,,,Chelsea
Billy Gilmour,sct SCO,MF,21,0,0,,,,,,,,,Chelsea
Callum Hudson-Odoi,eng ENG,"FW,MF",22,0,0,,,,,,,,,Chelsea
Omari Hutchinson,eng ENG,DF,19,0,0,,,,,,,,,Chelsea
Harvey Vale,eng ENG,MF,19,0,0,,,,,,,,,Chelsea
Denis Zakaria,ch SUI,MF,26,0,0,,,,,,,,,Chelsea
Squad Total,,,,14,154,1260.0,17.0,12.0,2.0,34.0,2.0,15.4,11.6,Chelsea
Tim Ream,us USA,DF,35,15,15,1347.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,Fulham
Andreas Pereira,br BRA,MF,26,15,15,1240.0,2.0,4.0,1.0,3.0,0.0,2.2,2.8,Fulham
João Palhinha,pt POR,MF,27,14,14,1251.0,2.0,0.0,0.0,5.0,0.0,0.8,0.0,Fulham
Bobby Reid,jm JAM,"FW,DF",29,14,14,1211.0,3.0,1.0,0.0,6.0,0.0,2.5,0.6,Fulham
Harrison Reed,eng ENG,MF,27,14,14,1175.0,2.0,1.0,0.0,5.0,0.0,1.0,1.6,Fulham
Bernd Leno,de GER,GK,30,13,13,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
Antonee Robinson,us USA,DF,25,13,13,1108.0,0.0,0.0,0.0,4.0,0.0,0.0,0.3,Fulham
Aleksandar Mitrović,rs SRB,FW,28,12,12,1017.0,9.0,0.0,3.0,4.0,0.0,7.7,1.3,Fulham
Tosin Adarabioyo,eng ENG,DF,25,10,10,900.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,Fulham
Neeskens Kebano,cd COD,FW,30,12,9,713.0,0.0,3.0,0.0,0.0,0.0,0.5,1.4,Fulham
Kenny Tete,nl NED,DF,27,9,8,708.0,0.0,3.0,0.0,5.0,0.0,0.1,0.3,Fulham
Issa Diop,fr FRA,DF,25,8,6,598.0,1.0,0.0,0.0,1.0,0.0,0.3,0.0,Fulham
Willian,br BRA,FW,34,8,6,564.0,1.0,1.0,0.0,0.0,0.0,1.7,1.2,Fulham
Carlos Vinícius,br BRA,FW,27,9,3,327.0,0.0,0.0,0.0,1.0,0.0,0.3,0.4,Fulham
Daniel James,wls WAL,FW,25,8,3,307.0,1.0,0.0,0.0,0.0,0.0,1.3,0.3,Fulham
Harry Wilson,wls WAL,FW,25,7,3,268.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,Fulham
Marek Rodák,sk SVK,GK,25,2,2,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
Tom Cairney,sct SCO,MF,31,15,1,343.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,Fulham
Kevin Mbabu,ch SUI,"DF,FW",27,6,1,144.0,0.0,1.0,0.0,1.0,0.0,0.0,0.4,Fulham
Jay Stansfield,eng ENG,FW,20,3,1,87.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,Fulham
Layvin Kurzawa,fr FRA,DF,30,1,1,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
Nathaniel Chalobah,eng ENG,MF,27,3,1,11.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,Fulham
Manor Solomon,il ISR,FW,23,1,0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
Josh Onomah,eng ENG,MF,25,2,0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
Luke Harris,wls WAL,"FW,MF",17,2,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
Shane Duffy,ie IRL,"FW,DF",30,4,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
Tyrese Francois,au AUS,FW,22,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
Terry Ablade,fi FIN,FW,21,0,0,,,,,,,,,Fulham
Rodrigo Muniz,br BRA,FW,21,0,0,,,,,,,,,Fulham
Stefan Parkes,eng ENG,DF,18,0,0,,,,,,,,,Fulham
Kristian Sekularac,eng ENG,MF,18,0,0,,,,,,,,,Fulham
Squad Total,,,,15,165,1350.0,22.0,14.0,4.0,36.0,1.0,19.6,11.3,Fulham
David Raya,es ESP,GK,27,15,15,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Rico Henry,eng ENG,DF,25,15,15,1346.0,0.0,1.0,0.0,0.0,0.0,0.5,0.8,Brentford
Mathias Jensen,dk DEN,MF,26,15,15,1127.0,1.0,3.0,0.0,2.0,0.0,0.5,2.0,Brentford
Bryan Mbeumo,cm CMR,FW,23,15,15,1120.0,3.0,1.0,1.0,3.0,0.0,3.6,1.6,Brentford
Ivan Toney,eng ENG,FW,26,14,14,1260.0,10.0,2.0,3.0,5.0,0.0,8.0,2.1,Brentford
Ben Mee,eng ENG,DF,33,14,14,1208.0,2.0,0.0,0.0,1.0,0.0,1.2,0.1,Brentford
Vitaly Janelt,de GER,"MF,DF",24,15,11,990.0,1.0,1.0,0.0,1.0,0.0,1.0,0.7,Brentford
Aaron Hickey,sct SCO,DF,20,9,8,679.0,0.0,0.0,0.0,4.0,0.0,0.1,0.0,Brentford
Josh Dasilva,eng ENG,MF,24,15,7,687.0,2.0,1.0,0.0,1.0,0.0,0.5,1.1,Brentford
Ethan Pinnock,jm JAM,DF,29,7,7,630.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,Brentford
Yoane Wissa,cd COD,FW,26,15,6,642.0,3.0,1.0,0.0,1.0,0.0,2.6,1.0,Brentford
Pontus Jansson,se SWE,DF,31,6,6,514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Kristoffer Ajer,no NOR,DF,24,6,6,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Mathias Jørgensen,dk DEN,DF,32,8,5,457.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,Brentford
Mads Roerslev,dk DEN,DF,23,7,5,433.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,Brentford
Frank Onyeka,ng NGA,MF,24,12,4,442.0,0.0,1.0,0.0,0.0,0.0,0.4,0.5,Brentford
Shandon Baptiste,gd GRN,MF,24,12,4,431.0,0.0,0.0,0.0,1.0,0.0,0.2,0.7,Brentford
Christian Nørgaard,dk DEN,MF,28,5,4,338.0,1.0,0.0,0.0,0.0,0.0,0.4,0.1,Brentford
Keane Lewis-Potter,eng ENG,"FW,MF",21,7,3,287.0,0.0,1.0,0.0,0.0,0.0,0.5,1.2,Brentford
Mikkel Damsgaard,dk DEN,"MF,FW",22,9,1,267.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,Brentford
Sergi Canós,es ESP,"FW,DF",25,4,0,74.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Brentford
Saman Ghoddos,ir IRN,"MF,FW",29,6,0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Mads Bech Sørensen,dk DEN,"DF,MF",23,3,0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Halil Dervişoğlu,tr TUR,MF,22,1,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Matthew Cox,eng ENG,GK,19,0,0,,,,,,,,,Brentford
Tristan Crama,fr FRA,MF,21,0,0,,,,,,,,,Brentford
Finley Stevens,wls WAL,DF,19,0,0,,,,,,,,,Brentford
Thomas Strakosha,al ALB,GK,27,0,0,,,,,,,,,Brentford
Ryan Trevitt,eng ENG,MF,19,0,0,,,,,,,,,Brentford
Yehor Yarmoliuk,ua UKR,MF,18,0,0,,,,,,,,,Brentford
Squad Total,,,,15,165,1350.0,23.0,12.0,4.0,21.0,0.0,20.3,12.9,Brentford
Vicente Guaita,es ESP,GK,35,14,14,1260.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Crystal-Palace
Marc Guéhi,eng ENG,DF,22,14,14,1260.0,0.0,0.0,0.0,5.0,0.0,0.2,0.1,Crystal-Palace
Eberechi Eze,eng ENG,"MF,FW",24,14,14,1139.0,2.0,3.0,0.0,0.0,0.0,2.0,2.1,Crystal-Palace
Joachim Andersen,dk DEN,DF,26,13,13,1170.0,1.0,0.0,0.0,2.0,0.0,0.9,0.4,Crystal-Palace
Wilfried Zaha,ci CIV,"FW,MF",30,13,13,1147.0,6.0,2.0,0.0,3.0,0.0,4.6,1.6,Crystal-Palace
Jeffrey Schlupp,gh GHA,MF,29,14,12,1094.0,0.0,0.0,0.0,3.0,0.0,1.0,0.3,Crystal-Palace
Tyrick Mitchell,eng ENG,DF,23,14,12,977.0,0.0,2.0,0.0,2.0,0.0,0.1,0.6,Crystal-Palace
Cheick Doucouré,ml MLI,MF,22,12,12,963.0,0.0,1.0,0.0,4.0,0.0,0.4,1.0,Crystal-Palace
Joel Ward,eng ENG,DF,33,12,11,1021.0,0.0,0.0,0.0,4.0,0.0,0.0,0.1,Crystal-Palace
Jordan Ayew,gh GHA,"FW,MF",31,14,11,904.0,0.0,1.0,0.0,1.0,0.0,0.7,1.2,Crystal-Palace
Odsonne Édouard,fr FRA,FW,24,13,9,767.0,3.0,2.0,0.0,3.0,0.0,1.9,0.8,Crystal-Palace
Michael Olise,fr FRA,"MF,FW",20,13,8,754.0,1.0,2.0,0.0,1.0,0.0,0.9,1.7,Crystal-Palace
Nathaniel Clyne,eng ENG,DF,31,8,7,580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,Crystal-Palace
Jean-Philippe Mateta,fr FRA,FW,25,11,2,283.0,1.0,0.0,0.0,2.0,0.0,1.2,0.5,Crystal-Palace
Luka Milivojević,rs SRB,MF,31,9,2,279.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,Crystal-Palace
Will Hughes,eng ENG,MF,27,8,0,92.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Crystal-Palace
James Tomkins,eng ENG,DF,33,1,0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal-Palace
Chris Richards,us USA,DF,22,3,0,47.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,Crystal-Palace
Jaïro Riedewald,nl NED,"DF,FW",26,3,0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal-Palace
Malcolm Ebiowei,eng ENG,"MF,FW",19,3,0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal-Palace
Kofi Balmer,nir NIR,DF,22,0,0,,,,,,,,,Crystal-Palace
Owen Goodman,eng ENG,GK,19,0,0,,,,,,,,,Crystal-Palace
John-Kymani Gordon,eng ENG,FW,19,0,0,,,,,,,,,Crystal-Palace
Sam Johnstone,eng ENG,GK,29,0,0,,,,,,,,,Crystal-Palace
Killian Phillips,ie IRL,DF,20,0,0,,,,,,,,,Crystal-Palace
Luke Plange,eng ENG,FW,20,0,0,,,,,,,,,Crystal-Palace
Kaden Rodney,eng ENG,MF,18,0,0,,,,,,,,,Crystal-Palace
Jack Wells-Morrison,eng ENG,MF,18,0,0,,,,,,,,,Crystal-Palace
Joseph Whitworth,eng ENG,GK,18,0,0,,,,,,,,,Crystal-Palace
Squad Total,,,,14,154,1260.0,14.0,13.0,0.0,32.0,0.0,14.0,10.8,Crystal-Palace
Emiliano Martínez,ar ARG,GK,30,15,15,1294.0,0.0,0.0,0.0,2.0,0.0,0.0,0.3,Aston-Villa
Ezri Konsa,eng ENG,DF,25,15,14,1261.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,Aston-Villa
Ollie Watkins,eng ENG,FW,26,14,13,1172.0,2.0,3.0,0.0,1.0,0.0,4.3,1.9,Aston-Villa
Tyrone Mings,eng ENG,DF,29,13,13,1170.0,0.0,0.0,0.0,3.0,0.0,0.0,0.1,Aston-Villa
John McGinn,sct SCO,MF,28,15,12,1056.0,0.0,0.0,0.0,4.0,0.0,1.0,0.7,Aston-Villa
Matty Cash,pl POL,DF,25,13,12,1028.0,0.0,0.0,0.0,3.0,0.0,0.2,0.7,Aston-Villa
Jacob Ramsey,eng ENG,MF,21,15,12,1021.0,2.0,2.0,0.0,4.0,0.0,1.1,1.2,Aston-Villa
Leon Bailey,jm JAM,"FW,MF",25,14,11,827.0,3.0,2.0,0.0,4.0,0.0,1.9,2.0,Aston-Villa
Douglas Luiz,br BRA,MF,24,14,10,930.0,1.0,2.0,0.0,1.0,1.0,0.2,1.3,Aston-Villa
Lucas Digne,fr FRA,DF,29,10,9,811.0,1.0,0.0,0.0,2.0,0.0,0.2,0.5,Aston-Villa
Danny Ings,eng ENG,FW,30,14,8,726.0,5.0,0.0,2.0,3.0,0.0,3.8,0.4,Aston-Villa
Boubacar Kamara,fr FRA,MF,23,9,8,669.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1,Aston-Villa
Ashley Young,eng ENG,DF,37,11,7,729.0,1.0,0.0,0.0,3.0,0.0,0.2,0.7,Aston-Villa
Emi Buendía,ar ARG,"FW,MF",25,15,7,726.0,1.0,0.0,0.0,0.0,0.0,2.6,0.8,Aston-Villa
Philippe Coutinho,br BRA,"MF,FW",30,12,6,571.0,0.0,0.0,0.0,2.0,0.0,1.0,0.3,Aston-Villa
Leander Dendoncker,be BEL,MF,27,8,3,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,Aston-Villa
Diego Carlos,br BRA,DF,29,2,2,179.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,Aston-Villa
Calum Chambers,eng ENG,DF,27,3,1,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston-Villa
Jan Bednarek,pl POL,DF,26,2,1,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston-Villa
Ludwig Augustinsson,se SWE,DF,28,2,1,53.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Aston-Villa
Robin Olsen,se SWE,GK,32,1,0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston-Villa
Cameron Archer,eng ENG,"FW,MF",21,6,0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston-Villa
Morgan Sanson,fr FRA,MF,28,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston-Villa
Lamare Bogarde,nl NED,MF,18,0,0,,,,,,,,,Aston-Villa
Tim Iroegbunam,eng ENG,MF,19,0,0,,,,,,,,,Aston-Villa
Marvelous Nakamba,zw ZIM,MF,28,0,0,,,,,,,,,Aston-Villa
Squad Total,,,,15,165,1350.0,16.0,9.0,2.0,37.0,1.0,17.1,11.7,Aston-Villa
Danny Ward,wls WAL,GK,29,15,15,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester-City
James Justin,eng ENG,DF,24,14,14,1252.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,Leicester-City
Youri Tielemans,be BEL,MF,25,15,14,1165.0,3.0,1.0,1.0,1.0,0.0,2.0,2.4,Leicester-City
Kiernan Dewsbury-Hall,eng ENG,MF,24,15,14,1134.0,1.0,2.0,0.0,1.0,0.0,0.7,2.1,Leicester-City
Timothy Castagne,be BEL,DF,26,14,13,1191.0,1.0,2.0,0.0,0.0,0.0,1.4,1.1,Leicester-City
James Maddison,eng ENG,"MF,FW",26,13,13,1098.0,7.0,4.0,0.0,5.0,0.0,2.6,2.9,Leicester-City
Harvey Barnes,eng ENG,MF,24,13,13,1086.0,6.0,0.0,0.0,0.0,0.0,3.5,0.6,Leicester-City
Daniel Amartey,gh GHA,DF,27,12,10,915.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,Leicester-City
Jonny Evans,nir NIR,DF,34,9,9,810.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,Leicester-City
Wout Faes,be BEL,DF,24,9,9,810.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,Leicester-City
Boubakary Soumaré,fr FRA,MF,23,11,9,668.0,0.0,0.0,0.0,3.0,0.0,0.0,0.1,Leicester-City
Jamie Vardy,eng ENG,FW,35,15,8,751.0,1.0,4.0,0.0,1.0,0.0,2.1,0.4,Leicester-City
Patson Daka,zm ZAM,FW,24,14,7,642.0,3.0,2.0,0.0,2.0,0.0,2.3,1.8,Leicester-City
Wilfred Ndidi,ng NGA,"MF,DF",25,10,7,638.0,0.0,0.0,0.0,2.0,0.0,0.1,0.0,Leicester-City
Luke Thomas,eng ENG,DF,21,4,3,273.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Leicester-City
Dennis Praet,be BEL,MF,28,7,2,266.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,Leicester-City
Wesley Fofana,fr FRA,DF,21,2,2,180.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,Leicester-City
Kelechi Iheanacho,ng NGA,"FW,MF",26,10,1,219.0,1.0,1.0,0.0,0.0,0.0,1.5,0.6,Leicester-City
Ayoze Pérez,es ESP,MF,29,5,1,148.0,0.0,1.0,0.0,0.0,0.0,0.4,1.2,Leicester-City
Çağlar Söyüncü,tr TUR,DF,26,1,1,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester-City
Nampalys Mendy,sn SEN,MF,30,6,0,152.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Leicester-City
Marc Albrighton,eng ENG,MF,33,3,0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester-City
Samuel Braybrooke,eng ENG,MF,18,0,0,,,,,,,,,Leicester-City
Lewis Brunt,eng ENG,DF,22,0,0,,,,,,,,,Leicester-City
Daniel Iversen,dk DEN,GK,25,0,0,,,,,,,,,Leicester-City
Jannik Vestergaard,dk DEN,DF,30,0,0,,,,,,,,,Leicester-City
Squad Total,,,,15,165,1350.0,23.0,17.0,1.0,19.0,0.0,17.6,14.2,Leicester-City
Jefferson Lerma,co COL,"MF,DF",28,15,15,1350.0,2.0,0.0,0.0,3.0,0.0,1.2,0.3,Bournemouth
Adam Smith,eng ENG,DF,31,15,15,1305.0,0.0,1.0,0.0,4.0,0.0,0.4,0.4,Bournemouth
Marcus Tavernier,eng ENG,"MF,FW",23,15,15,1283.0,2.0,4.0,0.0,1.0,0.0,1.7,2.2,Bournemouth
Chris Mepham,wls WAL,DF,25,14,14,1251.0,0.0,0.0,0.0,5.0,0.0,0.3,0.1,Bournemouth
Lewis Cook,eng ENG,MF,25,15,13,1193.0,0.0,2.0,0.0,2.0,0.0,0.1,2.0,Bournemouth
Philip Billing,dk DEN,"MF,FW",26,15,13,1133.0,4.0,1.0,0.0,1.0,0.0,1.2,1.2,Bournemouth
Dominic Solanke,eng ENG,"FW,MF",25,13,12,1071.0,3.0,3.0,0.0,0.0,0.0,2.4,1.1,Bournemouth
Marcos Senesi,ar ARG,DF,25,12,11,939.0,0.0,0.0,0.0,1.0,0.0,0.1,0.2,Bournemouth
Jordan Zemura,zw ZIM,DF,23,11,9,788.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9,Bournemouth
Ryan Christie,sct SCO,"MF,FW",27,13,9,718.0,1.0,0.0,0.0,1.0,0.0,1.3,0.3,Bournemouth
Kieffer Moore,wls WAL,FW,30,15,8,750.0,4.0,0.0,0.0,0.0,0.0,2.0,0.3,Bournemouth
Neto,br BRA,GK,33,8,8,675.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Bournemouth
Mark Travers,ie IRL,GK,23,8,7,675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Ryan Fredericks,eng ENG,DF,30,8,5,451.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,Bournemouth
Lloyd Kelly,eng ENG,DF,24,5,5,450.0,0.0,2.0,0.0,0.0,0.0,0.0,0.1,Bournemouth
Ben Pearson,eng ENG,MF,27,5,3,214.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bournemouth
Jaidon Anthony,eng ENG,"FW,MF",22,10,1,272.0,2.0,0.0,0.0,0.0,0.0,0.9,0.1,Bournemouth
Jack Stacey,eng ENG,DF,26,6,1,134.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,Bournemouth
Jack Stephens,eng ENG,DF,28,3,1,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Bournemouth
