Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team
Junior Stanislas,eng ENG,MF,33,4,0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Bournemouth
Joe Rothwell,eng ENG,"MF,DF",27,2,0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Owen Bevan,wls WAL,DF,19,1,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Emiliano Marcondes,dk DEN,MF,27,1,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Siriki Dembélé,ci CIV,FW,26,1,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Jamal Lowe,jm JAM,FW,28,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Will Dennis,eng ENG,GK,22,0,0,,,,,,,,,Bournemouth
James Hill,eng ENG,DF,20,0,0,,,,,,,,,Bournemouth
Cameron Plain,eng ENG,GK,20,0,0,,,,,,,,,Bournemouth
Christian Saydee,lr LBR,MF,20,0,0,,,,,,,,,Bournemouth
Squad Total,,,,15,165,1350.0,18.0,14.0,0.0,24.0,0.0,11.6,9.5,Bournemouth
Illan Meslier,fr FRA,GK,22,14,14,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leeds-United
Robin Koch,de GER,DF,26,14,14,1215.0,0.0,0.0,0.0,3.0,0.0,0.2,0.0,Leeds-United
Brenden Aaronson,us USA,"MF,FW",22,14,14,1189.0,1.0,2.0,0.0,2.0,0.0,1.9,2.9,Leeds-United
Marc Roca,es ESP,MF,26,14,14,1031.0,1.0,1.0,0.0,3.0,0.0,0.9,0.5,Leeds-United
Tyler Adams,us USA,MF,23,13,13,1166.0,0.0,0.0,0.0,4.0,1.0,0.0,0.9,Leeds-United
Pascal Struijk,nl NED,DF,23,13,13,1164.0,1.0,1.0,0.0,2.0,0.0,0.9,2.3,Leeds-United
Rasmus Nissen,dk DEN,DF,25,12,12,1048.0,0.0,1.0,0.0,4.0,0.0,0.4,0.8,Leeds-United
Jack Harrison,eng ENG,"FW,MF",26,13,12,937.0,1.0,3.0,0.0,2.0,0.0,1.3,1.9,Leeds-United
Rodrigo,es ESP,"FW,MF",31,13,12,886.0,9.0,1.0,1.0,1.0,0.0,5.4,1.2,Leeds-United
Liam Cooper,sct SCO,DF,31,8,7,675.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,Leeds-United
Diego Llorente,es ESP,DF,29,7,7,630.0,0.0,0.0,0.0,1.0,0.0,0.7,0.0,Leeds-United
Luis Sinisterra,co COL,FW,23,9,6,453.0,2.0,0.0,0.0,3.0,1.0,1.5,0.2,Leeds-United
Crysencio Summerville,nl NED,"FW,MF",21,10,4,473.0,4.0,0.0,0.0,1.0,0.0,1.5,0.3,Leeds-United
Patrick Bamford,eng ENG,FW,29,10,4,429.0,0.0,1.0,0.0,0.0,0.0,4.1,0.3,Leeds-United
Daniel James,wls WAL,FW,25,4,2,198.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,Leeds-United
Sam Greenwood,eng ENG,"MF,FW",20,6,1,188.0,1.0,1.0,0.0,0.0,0.0,0.5,0.3,Leeds-United
Joe Gelhardt,eng ENG,FW,20,11,1,169.0,0.0,1.0,0.0,1.0,0.0,0.7,0.1,Leeds-United
Luke Ayling,eng ENG,DF,31,7,1,159.0,0.0,1.0,0.0,0.0,0.0,0.2,0.1,Leeds-United
Junior Firpo,es ESP,DF,26,2,1,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Leeds-United
Degnand Gnonto,it ITA,"FW,MF",19,3,1,109.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,Leeds-United
Cody Drameh,eng ENG,DF,20,1,1,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leeds-United
Mateusz Klich,pl POL,"MF,FW",32,11,0,199.0,0.0,0.0,0.0,1.0,0.0,0.1,0.2,Leeds-United
Adam Forshaw,eng ENG,MF,31,3,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,Leeds-United
Mateo Fernández,es ESP,MF,19,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leeds-United
Leo Fuhr Hjelde,no NOR,DF,19,0,0,,,,,,,,,Leeds-United
Archie Gray,eng ENG,MF,16,0,0,,,,,,,,,Leeds-United
Darko Gyabi,eng ENG,MF,18,0,0,,,,,,,,,Leeds-United
Kristoffer Klaesson,no NOR,GK,22,0,0,,,,,,,,,Leeds-United
Sonny Perkins,eng ENG,FW,18,0,0,,,,,,,,,Leeds-United
Joel Robles,es ESP,GK,32,0,0,,,,,,,,,Leeds-United
Squad Total,,,,14,154,1260.0,21.0,14.0,1.0,29.0,2.0,20.3,13.5,Leeds-United
Declan Rice,eng ENG,MF,23,15,15,1350.0,1.0,1.0,0.0,2.0,0.0,1.4,1.8,West-Ham-United
Jarrod Bowen,eng ENG,FW,25,15,15,1340.0,2.0,0.0,1.0,0.0,0.0,4.3,1.9,West-Ham-United
Tomáš Souček,cz CZE,MF,27,15,15,1307.0,1.0,1.0,0.0,1.0,0.0,2.5,0.6,West-Ham-United
Łukasz Fabiański,pl POL,GK,37,15,15,1243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West-Ham-United
Aaron Cresswell,eng ENG,DF,32,14,14,1240.0,0.0,0.0,0.0,2.0,0.0,0.2,2.5,West-Ham-United
Kurt Zouma,fr FRA,DF,28,14,14,1184.0,1.0,0.0,0.0,0.0,0.0,1.1,0.0,West-Ham-United
Thilo Kehrer,de GER,DF,26,13,13,1170.0,0.0,0.0,0.0,4.0,0.0,0.3,0.2,West-Ham-United
Pablo Fornals,es ESP,"FW,MF",26,14,9,776.0,1.0,0.0,0.0,0.0,0.0,0.6,1.0,West-Ham-United
Gianluca Scamacca,it ITA,FW,23,13,9,755.0,2.0,0.0,0.0,3.0,0.0,2.1,0.6,West-Ham-United
Saïd Benrahma,dz ALG,"FW,MF",27,13,7,751.0,2.0,1.0,1.0,0.0,0.0,2.4,1.1,West-Ham-United
Vladimír Coufal,cz CZE,"DF,MF",30,9,7,685.0,0.0,0.0,0.0,1.0,0.0,0.1,0.6,West-Ham-United
Lucas Paquetá,br BRA,"MF,FW",25,8,7,587.0,0.0,2.0,0.0,2.0,0.0,1.3,0.6,West-Ham-United
Michail Antonio,jm JAM,FW,32,14,6,607.0,2.0,1.0,0.0,1.0,0.0,2.0,0.4,West-Ham-United
Ben Johnson,eng ENG,DF,22,7,6,488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,West-Ham-United
Craig Dawson,eng ENG,DF,32,5,5,450.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,West-Ham-United
Flynn Downes,eng ENG,MF,23,6,3,265.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,West-Ham-United
Emerson Palmieri,it ITA,"DF,MF",28,7,3,224.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,West-Ham-United
Manuel Lanzini,ar ARG,"MF,FW",29,5,1,126.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,West-Ham-United
Maxwel Cornet,ci CIV,FW,26,5,1,91.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,West-Ham-United
Alphonse Areola,fr FRA,GK,29,2,0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West-Ham-United
Nayef Aguerd,ma MAR,DF,26,1,0,76.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,West-Ham-United
Angelo Ogbonna,it ITA,DF,34,2,0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,West-Ham-United
Conor Coventry,ie IRL,"MF,FW",22,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West-Ham-United
Harrison Ashby,sct SCO,DF,21,0,0,,,,,,,,,West-Ham-United
Armstrong Okoflex,ie IRL,MF,20,0,0,,,,,,,,,West-Ham-United
Darren Randolph,ie IRL,GK,35,0,0,,,,,,,,,West-Ham-United
Nikola Vlašić,hr CRO,"FW,MF",25,0,0,,,,,,,,,West-Ham-United
Squad Total,,,,15,165,1350.0,12.0,6.0,2.0,19.0,0.0,18.6,11.6,West-Ham-United
James Tarkowski,eng ENG,DF,30,15,15,1350.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,Everton
Alex Iwobi,ng NGA,MF,26,15,15,1332.0,1.0,5.0,0.0,1.0,0.0,0.7,2.6,Everton
Demarai Gray,eng ENG,"FW,MF",26,15,15,1284.0,1.0,0.0,0.0,1.0,0.0,2.4,2.1,Everton
Vitaliy Mykolenko,ua UKR,"DF,MF",23,15,15,1283.0,0.0,0.0,0.0,2.0,0.0,0.4,0.5,Everton
Jordan Pickford,eng ENG,GK,28,14,14,1260.0,0.0,1.0,0.0,3.0,0.0,0.0,0.1,Everton
Conor Coady,eng ENG,DF,29,14,14,1250.0,1.0,1.0,0.0,1.0,0.0,0.6,0.3,Everton
Amadou Onana,be BEL,MF,21,14,12,1035.0,0.0,1.0,0.0,4.0,0.0,1.7,1.0,Everton
Anthony Gordon,eng ENG,FW,21,14,11,983.0,3.0,0.0,0.0,6.0,0.0,2.7,0.6,Everton
Idrissa Gana Gueye,sn SEN,MF,33,10,9,738.0,0.0,0.0,0.0,3.0,0.0,0.0,0.1,Everton
Nathan Patterson,sct SCO,"DF,MF",21,10,8,767.0,0.0,0.0,0.0,1.0,0.0,0.5,0.3,Everton
Dwight McNeil,eng ENG,"FW,DF",23,15,8,734.0,2.0,0.0,0.0,2.0,0.0,0.6,1.2,Everton
Séamus Coleman,ie IRL,DF,34,8,7,605.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,Everton
Neal Maupay,fr FRA,FW,26,10,6,553.0,1.0,0.0,0.0,1.0,0.0,2.0,0.5,Everton
Dominic Calvert-Lewin,eng ENG,FW,25,6,4,339.0,1.0,0.0,0.0,1.0,0.0,1.5,0.2,Everton
Mason Holgate,eng ENG,DF,26,4,3,320.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,Everton
Tom Davies,eng ENG,MF,24,7,3,298.0,0.0,0.0,0.0,2.0,0.0,0.5,0.1,Everton
Abdoulaye Doucouré,ml MLI,MF,29,7,2,186.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Everton
Salomón Rondón,ve VEN,FW,33,7,1,109.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,Everton
Asmir Begović,ba BIH,GK,35,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton
Yerry Mina,co COL,DF,28,1,1,69.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Everton
Ben Godfrey,eng ENG,DF,24,1,1,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton
James Garner,eng ENG,MF,21,6,0,142.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,Everton
Dele Alli,eng ENG,MF,26,2,0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton
Rúben Vinagre,pt POR,"DF,MF",23,2,0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton
Michael Keane,eng ENG,DF,29,1,0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton
Thomas Cannon,ie IRL,FW,19,1,0,17.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Everton
Kyle Alex John,eng ENG,DF,21,0,0,,,,,,,,,Everton
Allan,br BRA,"DF,MF",31,0,0,,,,,,,,,Everton
Jean-Philippe Gbamin,ci CIV,"DF,MF",27,0,0,,,,,,,,,Everton
André Gomes,pt POR,MF,29,0,0,,,,,,,,,Everton
Eldin Jakupović,ch SUI,GK,38,0,0,,,,,,,,,Everton
Stanley Mills,eng ENG,MF,19,0,0,,,,,,,,,Everton
Lewis Warrington,eng ENG,MF,20,0,0,,,,,,,,,Everton
Reece Welch,eng ENG,DF,19,0,0,,,,,,,,,Everton
Squad Total,,,,15,165,1350.0,10.0,8.0,0.0,33.0,0.0,15.4,11.1,Everton
Dean Henderson,eng ENG,GK,25,15,15,1350.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Nottingham-Forest
Scott McKenna,sct SCO,DF,26,14,14,1260.0,0.0,0.0,0.0,4.0,0.0,0.1,0.8,Nottingham-Forest
Brennan Johnson,wls WAL,"FW,MF",21,15,13,1187.0,2.0,0.0,1.0,2.0,0.0,3.2,0.7,Nottingham-Forest
Neco Williams,wls WAL,DF,21,15,12,1078.0,0.0,0.0,0.0,3.0,0.0,0.9,1.2,Nottingham-Forest
Morgan Gibbs-White,eng ENG,"FW,MF",22,13,12,1036.0,2.0,2.0,0.0,1.0,0.0,2.2,2.1,Nottingham-Forest
Ryan Yates,eng ENG,MF,25,13,11,1033.0,0.0,1.0,0.0,3.0,0.0,1.5,0.6,Nottingham-Forest
Steve Cook,eng ENG,DF,31,12,11,957.0,0.0,0.0,0.0,4.0,0.0,0.1,0.6,Nottingham-Forest
Jesse Lingard,eng ENG,"FW,MF",29,13,10,809.0,0.0,0.0,0.0,1.0,0.0,1.0,0.7,Nottingham-Forest
Remo Freuler,ch SUI,MF,30,11,9,831.0,0.0,0.0,0.0,2.0,0.0,0.1,0.2,Nottingham-Forest
Cheikhou Kouyaté,sn SEN,"MF,DF",32,12,9,704.0,1.0,0.0,0.0,2.0,0.0,0.3,0.6,Nottingham-Forest
Joe Worrall,eng ENG,DF,25,11,7,717.0,0.0,0.0,0.0,4.0,0.0,0.2,0.5,Nottingham-Forest
Harry Toffolo,eng ENG,DF,27,8,6,577.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,Nottingham-Forest
Serge Aurier,ci CIV,DF,29,7,6,530.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,Nottingham-Forest
Lewis O'Brien,eng ENG,MF,24,11,6,525.0,1.0,0.0,0.0,2.0,0.0,0.3,0.2,Nottingham-Forest
Taiwo Awoniyi,ng NGA,FW,25,13,6,512.0,3.0,0.0,0.0,0.0,0.0,3.6,0.7,Nottingham-Forest
Renan Lodi,br BRA,DF,24,7,6,505.0,0.0,0.0,0.0,1.0,0.0,0.4,0.1,Nottingham-Forest
Emmanuel Dennis,ng NGA,FW,25,9,3,345.0,1.0,1.0,0.0,2.0,0.0,0.6,0.3,Nottingham-Forest
Orel Mangala,be BEL,MF,24,7,3,267.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,Nottingham-Forest
Moussa Niakhate,fr FRA,DF,26,2,2,160.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,Nottingham-Forest
Willy Boly,ci CIV,DF,31,2,2,152.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Nottingham-Forest
Jack Colback,eng ENG,MF,33,4,1,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,Nottingham-Forest
Sam Surridge,eng ENG,FW,24,8,1,136.0,0.0,0.0,0.0,1.0,0.0,0.2,0.1,Nottingham-Forest
Giulian Biancone,fr FRA,DF,22,2,0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nottingham-Forest
Alexander Mighten,eng ENG,FW,20,1,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nottingham-Forest
Cafú,pt POR,MF,29,1,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nottingham-Forest
Loïc Bade,fr FRA,DF,22,0,0,,,,,,,,,Nottingham-Forest
Oliver Hammond,wls WAL,MF,20,0,0,,,,,,,,,Nottingham-Forest
Wayne Hennessey,wls WAL,GK,35,0,0,,,,,,,,,Nottingham-Forest
Loïc Mbe Soh,fr FRA,DF,21,0,0,,,,,,,,,Nottingham-Forest
Dale Taylor,nir NIR,FW,18,0,0,,,,,,,,,Nottingham-Forest
Lyle Taylor,ms MSR,FW,32,0,0,,,,,,,,,Nottingham-Forest
Squad Total,,,,15,165,1350.0,10.0,4.0,1.0,36.0,0.0,15.3,10.1,Nottingham-Forest
Gavin Bazunu,ie IRL,GK,20,15,15,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Southampton
James Ward-Prowse,eng ENG,MF,28,15,15,1350.0,1.0,2.0,0.0,2.0,0.0,0.7,2.7,Southampton
Mohammed Salisu,gh GHA,DF,23,14,14,1260.0,0.0,1.0,0.0,4.0,0.0,0.7,0.5,Southampton
Che Adams,sct SCO,FW,26,14,12,1066.0,4.0,1.0,0.0,0.0,0.0,3.9,1.7,Southampton
Mohamed Elyounoussi,no NOR,"MF,FW",28,14,12,985.0,0.0,1.0,0.0,2.0,0.0,2.0,1.3,Southampton
Kyle Walker-Peters,eng ENG,DF,25,11,11,952.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,Southampton
Armel Bella Kotchap,de GER,DF,20,11,11,903.0,0.0,1.0,0.0,1.0,0.0,0.7,0.1,Southampton
Adam Armstrong,eng ENG,FW,25,14,11,869.0,1.0,1.0,0.0,0.0,0.0,1.1,0.7,Southampton
Joe Aribo,ng NGA,"MF,FW",26,15,10,944.0,2.0,0.0,0.0,1.0,0.0,1.4,0.8,Southampton
Romain Perraud,fr FRA,DF,25,13,10,851.0,2.0,2.0,0.0,1.0,0.0,0.9,1.5,Southampton
Stuart Armstrong,sct SCO,"MF,FW",30,14,7,690.0,1.0,0.0,0.0,2.0,0.0,1.0,1.5,Southampton
Roméo Lavia,be BEL,MF,18,7,6,557.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,Southampton
Ibrahima Diallo,fr FRA,MF,23,9,6,450.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,Southampton
Moussa Djenepo,ml MLI,"DF,FW",24,10,5,526.0,0.0,1.0,0.0,0.0,0.0,0.1,0.2,Southampton
Duje Ćaleta-Car,hr CRO,DF,26,7,5,486.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,Southampton
Ainsley Maitland-Niles,eng ENG,"MF,DF",25,7,4,412.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2,Southampton
Lyanco,br BRA,DF,25,7,2,236.0,0.0,0.0,0.0,2.0,0.0,0.1,0.0,Southampton
Sekou Mara,fr FRA,"FW,MF",20,9,2,214.0,0.0,1.0,0.0,0.0,0.0,0.7,0.5,Southampton
Jan Bednarek,pl POL,DF,26,2,2,159.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,Southampton
Juan Larios,es ESP,DF,18,5,2,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southampton
Theo Walcott,eng ENG,"FW,MF",33,3,1,113.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Southampton
Oriol Romeu,es ESP,MF,31,1,1,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southampton
Yan Valery,tn TUN,DF,23,1,1,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southampton
Samuel Edozie,eng ENG,"MF,FW",19,8,0,159.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,Southampton
Jack Stephens,eng ENG,DF,28,2,0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southampton
Nathan Redmond,eng ENG,DF,28,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southampton
Ryan Finnigan,eng ENG,MF,19,0,0,,,,,,,,,Southampton
Alex McCarthy,eng ENG,GK,32,0,0,,,,,,,,,Southampton
Lewis Payne,eng ENG,DF,18,0,0,,,,,,,,,Southampton
Squad Total,,,,15,165,1350.0,13.0,11.0,0.0,24.0,0.0,14.7,12.6,Southampton
Max Kilman,eng ENG,DF,25,15,15,1350.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,Wolverhampton-Wanderers
José Sá,pt POR,GK,29,15,15,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolverhampton-Wanderers
Rúben Neves,pt POR,"MF,DF",25,14,14,1260.0,4.0,0.0,2.0,6.0,0.0,2.3,0.4,Wolverhampton-Wanderers
Nathan Collins,ie IRL,DF,21,12,12,1022.0,0.0,0.0,0.0,2.0,1.0,0.0,0.1,Wolverhampton-Wanderers
Daniel Podence,pt POR,"FW,MF",27,15,12,1020.0,2.0,0.0,0.0,3.0,0.0,2.1,1.6,Wolverhampton-Wanderers
João Moutinho,pt POR,MF,36,13,11,997.0,0.0,0.0,0.0,2.0,0.0,0.8,1.5,Wolverhampton-Wanderers
Jonny Castro,es ESP,DF,28,12,11,979.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,Wolverhampton-Wanderers
Matheus Nunes,pt POR,MF,24,12,11,857.0,0.0,1.0,0.0,1.0,0.0,1.1,1.2,Wolverhampton-Wanderers
Gonçalo Guedes,pt POR,"FW,MF",25,12,8,689.0,1.0,1.0,0.0,1.0,0.0,1.2,0.5,Wolverhampton-Wanderers
Nélson Semedo,pt POR,DF,29,13,8,675.0,0.0,1.0,0.0,3.0,1.0,0.0,0.2,Wolverhampton-Wanderers
Pedro Neto,pt POR,"FW,MF",22,8,8,599.0,0.0,0.0,0.0,1.0,0.0,0.7,1.2,Wolverhampton-Wanderers
Rayan Aït Nouri,fr FRA,DF,21,10,7,666.0,0.0,0.0,0.0,1.0,0.0,0.4,0.8,Wolverhampton-Wanderers
Adama Traoré,es ESP,"FW,MF",26,12,6,622.0,1.0,0.0,0.0,0.0,0.0,0.6,1.0,Wolverhampton-Wanderers
Hugo Bueno,es ESP,DF,20,6,5,451.0,0.0,1.0,0.0,1.0,0.0,0.1,0.4,Wolverhampton-Wanderers
Diego Costa,es ESP,FW,34,6,5,412.0,0.0,0.0,0.0,0.0,1.0,1.7,0.2,Wolverhampton-Wanderers
Boubacar Traoré,ml MLI,MF,21,8,4,384.0,0.0,1.0,0.0,2.0,0.0,0.1,0.2,Wolverhampton-Wanderers
Hwang Hee-chan,kr KOR,FW,26,11,3,325.0,0.0,1.0,0.0,0.0,0.0,0.4,0.7,Wolverhampton-Wanderers
Toti Gomes,pt POR,DF,23,3,3,259.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,Wolverhampton-Wanderers
Leander Dendoncker,be BEL,MF,27,4,2,214.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,Wolverhampton-Wanderers
Raúl Jiménez,mx MEX,FW,31,3,2,212.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,Wolverhampton-Wanderers
Morgan Gibbs-White,eng ENG,"FW,MF",22,2,2,180.0,0.0,0.0,0.0,1.0,0.0,0.7,0.1,Wolverhampton-Wanderers
Sasa Kalajdzic,at AUT,FW,25,1,1,45.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,Wolverhampton-Wanderers
Joseph Hodge,ie IRL,MF,20,3,0,79.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,Wolverhampton-Wanderers
Chem Campbell,wls WAL,"FW,MF",19,5,0,74.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Wolverhampton-Wanderers
Dexter Lembikisa,jm JAM,DF,19,1,0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolverhampton-Wanderers
Connor Ronan,ie IRL,MF,24,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolverhampton-Wanderers
Willy Boly,ci CIV,DF,31,0,0,,,,,,,,,Wolverhampton-Wanderers
Conor Coady,eng ENG,"DF,MF",29,0,0,,,,,,,,,Wolverhampton-Wanderers
Luke Cundle,eng ENG,MF,20,0,0,,,,,,,,,Wolverhampton-Wanderers
Nathan Fraser,ie IRL,FW,17,0,0,,,,,,,,,Wolverhampton-Wanderers
Harvey Griffiths,eng ENG,MF,19,0,0,,,,,,,,,Wolverhampton-Wanderers
Yerson Mosquera,co COL,DF,21,0,0,,,,,,,,,Wolverhampton-Wanderers
Matija Šarkić,me MNE,GK,25,0,0,,,,,,,,,Wolverhampton-Wanderers
Squad Total,,,,15,165,1350.0,8.0,6.0,2.0,29.0,3.0,14.9,10.9,Wolverhampton-Wanderers